expression,reading,meaning,tags,guid
必要,ひつよう,necessary,JLPT JLPT_N4,ty_M]/QA_N
課長,かちょう,section manager,Intermediate_Japanese_Ln.7 JLPT JLPT_N4,Q;5M-:Rtr;
地震,じしん,earthquake,Genki Genki_Ln.15 JLPT JLPT_N4,DGTtnnC4Nd
すると,すると,"and, then",JLPT JLPT_N4,Fz>2(<Q3D%
止める,やめる,"to end, to stop",JLPT JLPT_N4,w08D;C[*x`
ガラス,ガラス,"glass, pane",JLPT JLPT_N4,Wl!XdU*F<
～学部,～がくぶ,department of a university,JLPT JLPT_N4,qq2at6CGnZ
厳しい,きびしい,hard; rigorous; strict,Genki Genki_Ln.13 Intermediate_Japanese_Ln.5 JLPT JLPT_N4,pjG^I!L.;w
エスカレーター,エスカレーター,escalator,JLPT JLPT_N4,y6e9BNnN(6
人口,じんこう,population,Intermediate_Japanese_Ln.4 JLPT JLPT_N4,h:04.`><%U
月,つき,moon,Genki Genki_Ln.20 JLPT JLPT_N4,g.!8Tz-L0l
絹,きぬ,silk,JLPT JLPT_N4,tNV0})jEsh
ちっとも,ちっとも,not at all (neg. verb),JLPT JLPT_N4,p(lsw|$R1V
深い,ふかい,"deep, profound",JLPT JLPT_N4,N%G$/Va72i
壊れる,こわれる,"to be broken, to break",JLPT JLPT_N4,PH#eB=.[|i
揺れる,ゆれる,"to shake, to sway",JLPT JLPT_N4,CJT@S-rGcq
落る,おちる,"to fall, to drop",JLPT JLPT_N4,QEWE{hX5.8
できるだけ,できるだけ,"if at all possible, as much as possible",JLPT JLPT_N4,z|27hHgqS.
悲しい,かなしい,"sad, sorrowful",Genki Genki_Ln.13 JLPT JLPT_N4,P[6ROxur[z
中学校,ちゅうがっこう,junior high school pupil,JLPT JLPT_N4,o@F6a}&sDT
ガス,ガス,gas,JLPT JLPT_N4,J0vS6#XFQP
祈る,いのる,to pray; to wish,JLPT JLPT_N4,gOVf)x5I|I
盛ん,さかん,"prosperous, active, thriving",JLPT JLPT_N4,iN0&Vv}z1G
アルバイト,アルバイト,part-time job,Genki Genki_Ln.4 JLPT JLPT_N4,uhbB_H_zmK
起こす,おこす,to wake (someone) up,Genki Genki_Ln.16 JLPT JLPT_N4,e)?&!q93%0
致す,いたす,-- extra-modest expression for する --,Genki Genki_Ln.20 JLPT JLPT_N4,s{uMBFr}QR
噛む,かむ,"to bite, to chew",JLPT JLPT_N4,E0N_YXN>-x
赤ちゃん,あかちゃん,"baby, infant",Genki Genki_Ln.21 JLPT JLPT_N4,s09]7w9[]D
浅い,あさい,"shallow, superficial",JLPT JLPT_N4,Bq97rav-&k
嘘,うそ,lie,JLPT JLPT_N4,dDVZZUX$0%
小説,しょうせつ,novel,Genki Genki_Ln.20 JLPT JLPT_N4,k;Wm8^zP:1
親,おや,a parent,Genki Genki_Ln.16 Intermediate_Japanese_Ln.6 JLPT JLPT_N4,EM~YxWr$Fw
それに,それに,moreover; besides,Intermediate_Japanese_Ln.2 JLPT JLPT_N4,q*Vh;RO@9L
西洋,せいよう,"the West, Western countries",JLPT JLPT_N4,CYHizo6/]:
思う,おもう,"to think, to feel",Genki Genki_Ln.8 JLPT JLPT_N4,bu>M]5SnGX
パート (タイム),パート (タイム),part time (esp. female part time employees),JLPT JLPT_N4,v_m4?zP2.9
時代,じだい,"age, period, epoch, era",JLPT JLPT_N4,L?Q&>175XG
申し上げる,もうしあげる,"(humble)to say, to tell",JLPT JLPT_N4,GF+@f2CV$T
～式,～しき,~ ceremony; ~ style,JLPT JLPT_N4,"r&5Ybsff,l"
出席,しゅっせきする,attendance,JLPT JLPT_N4,veUCYD:#[?
～家,～か,person who is specialized in ~,JLPT JLPT_N4,jmL@^X(3xD
迎える,むかえる,to welcome; to meet; to greet,JLPT JLPT_N4,c)r?fC@d`X
触る,さわる,"to touch, to feel",JLPT JLPT_N4,EE}]!?vk-o
建て,～だて,"~ storied, separate housing",JLPT JLPT_N4,O;BgWj4xcP
社長,しゃちょう,president of a company,Genki Genki_Ln.11 JLPT JLPT_N4,esu`;_q%~}
動物園,どうぶつえん,zoo,JLPT JLPT_N4,LA>0An]TpD
捕まえる,つかまえる,"to catch, to arrest",JLPT JLPT_N4,"dxA,$K8Jjo"
季節,きせつ,season (in reference to weather),Genki Genki_Ln.10 Intermediate_Japanese_Ln.9 JLPT JLPT_N4,"H-HO2,.Mf&"
寄る,よる,to stop by,Genki Genki_Ln.19 Intermediate_Japanese_Ln.3 JLPT JLPT_N4,wowQrA=!@I
決まる,きまる,to be set; fixed (v.i.),Intermediate_Japanese_Ln.2 JLPT JLPT_N4,ftU/w6Rm9)
開く,ひらく,to open; to hold (an event),JLPT JLPT_N4,EqW3}ML(%4
逃げる,にげる,"to escape, to run away",JLPT JLPT_N4,olt^H[(k%k
だから,だから,so; therefore,Genki Genki_Ln.4 JLPT JLPT_N4,"l,%/>C{Y}S"
残念,ざんねん,regret; regrettable,Intermediate_Japanese_Ln.7 JLPT JLPT_N4,u8P;}KnN>M
畳,たたみ,tatami mat (Japanese straw mat),JLPT JLPT_N4,K6&+!%&]%g
丁寧,ていねい,"polite, courteous, careful",JLPT JLPT_N4,y#[3yo1.4|
地理,ちり,geography,JLPT JLPT_N4,L>P&NZL8Ln
さっき,さっき,a little while ago,Genki Genki_Ln.4 JLPT JLPT_N4,K6.[:IAM|.
怖い,こわい,"scary, frightening",Genki Genki_Ln.5 JLPT JLPT_N4,oO+f.U&hT(
包む,つつむ,"to wrap, to cover",Genki Genki_Ln.21 JLPT JLPT_N4,j.kjH)CP:g
なるべく,なるべく,"if possible, as much as possible",Intermediate_Japanese_Ln.3 JLPT JLPT_N4,N|K[$y_r^[
無理,むり,"unreasonable, impossible",JLPT JLPT_N4,i]oOmAHlg9
サンドイッチ,サンドイッチ,sandwich,JLPT JLPT_N4,"Lah$0,$FHs"
会議室,かいぎしつ,conference room,JLPT JLPT_N4,oxHUFdCY;/
品物,しなもの,goods,JLPT JLPT_N4,kiGyZq*rIU
人形,にんぎょう,"doll, figure",JLPT JLPT_N4,vPlJ&v75[Q
利用,りよう,"use, utilization",JLPT JLPT_N4,Rh@8N~e0eQ
飾る,かざる,"to decorate, to adorn",JLPT JLPT_N4,"OaqvYHn98,"
止める,とめる,to stop (something),JLPT JLPT_N4,uL2<QDM;W:
恥ずかしい,はずかしい,"ashamed, embarrassed",Genki Genki_Ln.18 JLPT JLPT_N4,e$Mth*I+Cg
いくら～ても,いくら～ても,however much one may ~,JLPT JLPT_N4,I]og(vfh}t
用事,ようじ,business to take care of; tasks; errands,Genki Genki_Ln.12 JLPT JLPT_N4,p$RznpfpCY
ビル,ビル,(abbr.) building,JLPT JLPT_N4,H[!Yph0[mz
けんかする,けんかする,quarrel,JLPT JLPT_N4,Oc14`ELpiF
頑張る,がんばる,"to try one's best, to try hard, to persist",Genki Genki_Ln.13 JLPT JLPT_N4,Mz@9d9PizL
投げる,なげる,"to pitch, to cast away",Intermediate_Japanese_Ln.7 JLPT JLPT_N4,"A%8%S+mN,O"
故障,こしょうする,breakdown,JLPT JLPT_N4,mP~NCidGL7
力,ちから,"strength, power",JLPT JLPT_N4,t<Fy!4ZXqc
受ける,うける,"to take (an examination, interview, etc.); to receive",JLPT JLPT_N4,d#N;{6r~iD
気分,きぶん,"feeling, mood",JLPT JLPT_N4,GJl$1:;vCi
間違える,まちがえる,to make a mistake,Genki Genki_Ln.21 JLPT JLPT_N4,Q5b~VM7IRc
そんな,そんな,"such, like that, that sort of",JLPT JLPT_N4,ei/O3MuiLE
星,ほし,star,JLPT JLPT_N4,h=LT];WutA
場合,ばあい,"case, situation",JLPT JLPT_N4,qV-2<HJ$$5
やっと,やっと,"at last, finally",JLPT JLPT_N4,Qf-Nk|9F8D
足りる,たりる,to be sufficient; to be enough,Genki Genki_Ln.17 Intermediate_Japanese_Ln.4 JLPT JLPT_N4,tSHDO2cb1M
行う,おこなう,to carry out; to conduct (typically used in written language),Intermediate_Japanese_Ln.3 JLPT JLPT_N4,kSwpIk>RTo
ぶどう,ぶどう,grapes,JLPT JLPT_N4,qtf+q-Z+n]
無くなる,なくなる,"to disappear, to get lost",JLPT JLPT_N4,QEFsGzu!|/
準備,じゅんびする,prepare,JLPT JLPT_N4,h&P$N~U6-[
世界,せかい,world,Genki Genki_Ln.10 JLPT JLPT_N4,e<Tae_jQo4
住所,じゅうしょ,address; place of residence,JLPT JLPT_N4,fPoS$h^c(u
再来月,さらいげつ,the month after next,JLPT JLPT_N4,Zux^JW=t?
林,はやし,"woods, forest",JLPT JLPT_N4,@LWUXw-^>
倍,ばい,double,JLPT JLPT_N4,k.0mCWDs+|
痩せる,やせる,to lose weight,Genki Genki_Ln.7 JLPT JLPT_N4,A[Q-]LV0S:
線,せん,"line, wire",JLPT JLPT_N4,dK0yR1DBK`
戦争,せんそう,war,JLPT JLPT_N4,l@;Cq/&#91
決める,きめる,to decide (v.t.),Genki Genki_Ln.10 Intermediate_Japanese_Ln.9 JLPT JLPT_N4,p(qb/m`R:b
調べる,しらべる,to check; to look up; to inquire; to search,JLPT JLPT_N4,Ov6y=mBwgM
寝坊,ねぼう,sleeping in late,JLPT JLPT_N4,B(>pXN{@@q
パパ,パパ,"papa, daddy",JLPT JLPT_N4,v.-(XP=XJY
光る,ひかる,"to shine, to glitter",JLPT JLPT_N4,xp|/7BLK40
夫,おっと,husband,JLPT JLPT_N4,zDF$wWIUs8
雲,くも,cloud,JLPT JLPT_N4,"C3Z1{X<H,4"
坂,さか,"slope, hill",JLPT JLPT_N4,fMGrCf7XcB
～(て) しまう,～(て) しまう,to end up ~,JLPT JLPT_N4,us+Z5ns><g
飛行場,ひこうじょう,airport,JLPT JLPT_N4,A2O=3b{hXI
柔道,じゅうどう,judo,JLPT JLPT_N4,d[2qz9jnc7
決して,けっして,never,JLPT JLPT_N4,Kd9N)Izj!4
事務所,じむしょ,office,JLPT JLPT_N4,wxgf%k:fc2
連絡,れんらく,"communication, contact, connection",JLPT JLPT_N4,"v[($g<|S,F"
小学校,しょうがっこう,elementary school,Genki Genki_Ln.23 JLPT JLPT_N4,f^*MMB(l>o
客,きゃく,"guest, customer",Intermediate_Japanese_Ln.2 JLPT JLPT_N4,xF)V^}awc{
昔,むかし,old days; past,Genki Genki_Ln.21 JLPT JLPT_N4,hUjfJU~9){
美しい,うつくしい,"beautiful, lovely",JLPT JLPT_N4,OB^[>@2T05
捨てる,すてる,"throw away (trash), dump, discard",Genki Genki_Ln.15 JLPT JLPT_N4,G;1IJzl`jC
なさる,なさる,-- honorific expression for する --,Genki Genki_Ln.19 JLPT JLPT_N4,zj*av$=2pO
事,こと,"thing(s), matter(s), fact",Genki Genki_Ln.21 JLPT JLPT_N4,ca&G<Ve~Nx
どんどん,どんどん,quickly and steadily; at a rapid pace,JLPT JLPT_N4,q0h/etzyxE
試合,しあい,"match, game, competition",Genki Genki_Ln.12 Intermediate_Japanese_Ln.7 JLPT JLPT_N4,Hv/PI<4cqa
適当,てきとう,"fitness, suitability",JLPT JLPT_N4,HX3el]3jvP
素晴らしい,すばらしい,wonderful; terrific,Intermediate_Japanese_Ln.4 JLPT JLPT_N4,Mq|7Xt}rKi
美術館,びじゅつかん,"art gallery, art museum",Genki Genki_Ln.11 JLPT JLPT_N4,Lovq=LkX$G
文法,ぶんぽう,grammar,Genki Genki_Ln.13 JLPT JLPT_N4,"h2m8,%coR8"
終わり,おわり,end,JLPT JLPT_N4,j1fvX?gG0M
壁,かべ,wall,JLPT JLPT_N4,um!T&Q*O[?
一度,いちど,"once, one time",JLPT JLPT_N4,z3&2cN)6^e
お礼,おれい,expression of gratitude; thanking; gift of appreciation; bow,Genki Genki_Ln.19 Intermediate_Japanese_Ln.9 JLPT JLPT_N4,IzFCHK5nu1
親切,しんせつ,kindness,JLPT JLPT_N4,lZWRz?K3ET
知らせる,しらせる,to notify,JLPT JLPT_N4,mORr*vy|g/
歯医者,はいしゃ,dentist,JLPT JLPT_N4,"<G@n,w<8p"
熱心,ねっしん,enthusiasm,JLPT JLPT_N4,bLrU`I|/*{
始める,はじめる,"to start, to begin",Genki Genki_Ln.8 JLPT JLPT_N4,"g,>$G?*/Q&"
もらう,もらう,to receive,JLPT JLPT_N4,MhXS3i[O39
泣く,なく,to cry,Genki Genki_Ln.13 JLPT JLPT_N4,wS:0`lVju$
治る,なおる,to get better; to recover from illness (v.i.),JLPT JLPT_N4,J-V8gKft=&
熱,ねつ,"fever, temperature",Intermediate_Japanese_Ln.3 JLPT JLPT_N4,D9dKTYQi:O
お祭り,おまつり,festival,JLPT JLPT_N4,n=i-:`LzjX
水道,すいどう,"water service, water line",JLPT JLPT_N4,FV`Tc-%-nK
匂い,におい,"odor, smell",JLPT JLPT_N4,P&q^w6d0fO
ベル,ベル,bell,JLPT JLPT_N4,D!1f]e)iSX
赤ん坊,あかんぼう,baby,JLPT JLPT_N4,I>S)eTr_]B
おかしい,おかしい,strange; odd; funny,Intermediate_Japanese_Ln.2 JLPT JLPT_N4,O9;m#]XEB2
事故,じこ,accident,JLPT JLPT_N4,K(yw!r=B:1
変,へん,"strange, odd",JLPT JLPT_N4,e/SMd06F!x
辞典,じてん,"encyclopedia, reference book",JLPT JLPT_N4,brNC9/_sI`
残る,のこる,"to remain (v.i.), to be left",JLPT JLPT_N4,INR^BBo=#J
立てる,たてる,"to stand (something) up, to erect (something)",JLPT JLPT_N4,O9fk.~k_.E
くれる,くれる,"to give, to do for",JLPT JLPT_N4,hSC5|:)aVz
～員,～いん,member of ~,JLPT JLPT_N4,QHO%z16SSs
原因,げんいん,"cause, origin, source",JLPT JLPT_N4,y8<@Y+?o6j
驚く,おどろく,"to be surprised, to be astonished",Intermediate_Japanese_Ln.8 JLPT JLPT_N4,qBeaklesW+
いただく,頂く,-- extra-modest expression for たべる and のむ; humble expression for もらう --,Genki Genki_Ln.20 JLPT JLPT_N4,J*KGnzk|Z2
祖母,そぼ,grandmother,JLPT JLPT_N4,x!LCLRW]y2
場所,ばしょ,"place, location",Genki Genki_Ln.23 Intermediate_Japanese_Ln.5 JLPT JLPT_N4,qw3.O}/lOC
答,こたえ,"answer, response",JLPT JLPT_N4,xmTYLgV-T_
もちろん,もちろん,"certainly, of course",Genki Genki_Ln.7 Intermediate_Japanese_Ln.5 JLPT JLPT_N4,"m8,NutV2dG"
漬ける,つける,"to soak, to moisten, to pickle",JLPT JLPT_N4,h!i?H{d*F@
受付,うけつけ,reception(ist) desk,Genki Genki_Ln.22 Intermediate_Japanese_Ln.8 JLPT JLPT_N4,"uraaf1,;7Q"
内,うち,"within, inside",JLPT JLPT_N4,G1H0$T!7Vl
スクリーン,スクリーン,screen,JLPT JLPT_N4,"L/njBN,iH6"
増える,ふえる,"to increase, to multiply",JLPT JLPT_N4,QW.w#0qn}8
または,または,"or, otherwise",JLPT JLPT_N4,J-^^Uw<Tl~
けがする,けがする,"injury (to animate object), hurt",JLPT JLPT_N4,NP:|wpXW(M
以下,いか,"less than, below",JLPT JLPT_N4,DS5y_+4p`Y
選ぶ,えらぶ,to choose; to select,Genki Genki_Ln.17 Intermediate_Japanese_Ln.3 JLPT JLPT_N4,Jo*`4U5e.W
～ばかり,～ばかり,"just did ~, only",JLPT JLPT_N4,vbW68h-IIc
心,こころ,"heart, mind",JLPT JLPT_N4,Fkhe%Dz2nb
～だす,～だす,to start doing ~,JLPT JLPT_N4,B+=k~owmr!
サラダ,サラダ,salad,JLPT JLPT_N4,J3A=]P#ec<
届ける,とどける,to deliver (v.t.),Intermediate_Japanese_Ln.9 JLPT JLPT_N4,tA&cXA55C=
挨拶,あいさつする,greet(ing),JLPT JLPT_N4,h|NjvFq!b]
景色,けしき,"scenery, landscape",JLPT JLPT_N4,Cd#u9/v:Pu
確か,たしか,"if I remember correctly; certain, definite",Intermediate_Japanese_Ln.4 JLPT JLPT_N4,v&7%T>e{{z
ステーキ,ステーキ,steak,JLPT JLPT_N4,K0B$/YQ?Op
食料品,しょくりょうひん,"foodstuff, groceries",JLPT JLPT_N4,kg/Pg!K6&w
森,もり,forest,JLPT JLPT_N4,mJkKf?UAUT
以内,いない,"within, less (no more) than",JLPT JLPT_N4,EyK>c0C[$K
予定,よてい,"plans, arrangement, schedule",Genki Genki_Ln.15 Intermediate_Japanese_Ln.15 JLPT JLPT_N4,I$<#IwHCvW
オーバー,オーバー,"overcoat; over, exceeding, exaggeration",JLPT JLPT_N4,umd4AX=/RI
乾く,かわく,to get dry,JLPT JLPT_N4,s+Ju<mmF]C
石,いし,stone,JLPT JLPT_N4,gg2=(OnQKh
思い出す,おもいだす,"to recall, to remember",Intermediate_Japanese_Ln.8 JLPT JLPT_N4,O?8pX)Ooz*
踊る,おどる,to dance,Genki Genki_Ln.9 JLPT JLPT_N4,LnHUFv$!`;
細かい,こまかい,"small; fine, minute",JLPT JLPT_N4,PrWma5VeE[
塗る,ぬる,"to paint, to plaster",JLPT JLPT_N4,gb*{+)EK`F
ご主人,ごしゅじん,"(your, her) husband",Genki Genki_Ln.14 JLPT JLPT_N4,"Gb,y/-3SAS"
珍しい,めずらしい,"unusual, rare",Intermediate_Japanese_Ln.4 JLPT JLPT_N4,LG3n^a@XAC
用,よう,"errand, task, business (to take care of)",Intermediate_Japanese_Ln.9 JLPT JLPT_N4,CvxvGX`|/>
公務員,こうむいん,"government worker, public servant",JLPT JLPT_N4,p;42%b%y:T
お嬢さん,おじょうさん,(someone's) daughter (polite),Genki Genki_Ln.22 JLPT JLPT_N4,Ee+d{e?WRj
用意,ようい,preparation,JLPT JLPT_N4,"PJ%Q,E{$_L"
探す,さがす,"to search, to seek, to look for",Genki Genki_Ln.15 Intermediate_Japanese_Ln.8 JLPT JLPT_N4,h4(YO`o85t
形,かたち,shape,JLPT JLPT_N4,f7_i%J0-/Y
運転,うんてんする,driving,JLPT JLPT_N4,r!zv#R0ur*
すっかり,すっかり,"all, completely",JLPT JLPT_N4,nV=]]BK.9=
アナウンサー,アナウンサー,announcer,JLPT JLPT_N4,oG?shn0:uO
お土産,おみやげ,souvenir,Genki Genki_Ln.4 JLPT JLPT_N4,IKS:}hgF8q
消しゴム,けしゴム,eraser,JLPT JLPT_N4,"gW^biR[nM,"
旅館,りょかん,a Japanese inn,Genki Genki_Ln.15 Intermediate_Japanese_Ln.6 JLPT JLPT_N4,Ke`aN1|5T#
海岸,かいがん,"coast, seashore",JLPT JLPT_N4,O1]Ne=Q0*.
寂しい,さびしい,"lonely, lonesome",Genki Genki_Ln.9 JLPT JLPT_N4,pi{)YOFX|t
火,ひ,fire,JLPT JLPT_N4,gjC}:7>!AJ
育てる,そだてる,to raise (v.t.); to bring up,Genki Genki_Ln.22 JLPT JLPT_N4,r6b~+z#uh_
味噌,みそ,"miso, bean paste",JLPT JLPT_N4,FzA7odIzvp
お祝い,おいわい,"congratulation, celebration",Intermediate_Japanese_Ln.7 JLPT JLPT_N4,sQaWTq!hP`
乗り物,のりもの,vehicle,JLPT JLPT_N4,i9[ZI9WM}X
案内,あんないする,"information, guidance",JLPT JLPT_N4,DO_nJ<yYaJ
通う,かよう,to go back and forth; to commute,JLPT JLPT_N4,D<g$_r(YBs
連れる,つれる,"to lead, to take (a person)",JLPT JLPT_N4,J&sg+H>0p_
技術,ぎじゅつ,"technique, technology, skill",JLPT JLPT_N4,PCC!&zGiCY
小鳥,ことり,small bird,JLPT JLPT_N4,G|$muceS&O
下宿,げしゅく,"lodging, boarding house",JLPT JLPT_N4,"bmjB!,8T=p"
ジャム,ジャム,jam,JLPT JLPT_N4,D@h7*f7p?d
招待,しょうたいする,invitation,JLPT JLPT_N4,c$Y~;QF){;
鏡,かがみ,mirror,JLPT JLPT_N4,v%J5x[E:;(
はず,はず,it should be so,JLPT JLPT_N4,Jg5{R&fxyH
法律,ほうりつ,law,JLPT JLPT_N4,O9|FD5Fq3.
進む,すすむ,"to advance, to proceed",JLPT JLPT_N4,b6Re}g0};8
楽む,たのしむ,to enjoy,JLPT JLPT_N4,iCe:{Xn-6L
貿易,ぼうえき,trade,JLPT JLPT_N4,bc9Yp10YbE
反対,はんたい,"oppose, opposition, resistance",JLPT JLPT_N4,KY]P)[osSM
