expression,reading,meaning,tags,guid
手術,しゅじゅつ,surgical operation,JLPT JLPT_2 JLPT_3,O=U-eHfq4I
首相,しゅしょう,Prime Minister,JLPT JLPT_2 JLPT_3,"h%Bt%?=g9,"
手段,しゅだん,"means, way, measure",JLPT JLPT_2 JLPT_3,cG]JN2+6BK
主張,しゅちょう,"claim, insistence, assertion",JLPT JLPT_2 JLPT_3,PQKr-g-1[?
出場,しゅつじょう,participation,JLPT JLPT_2 JLPT_3,u|Gl.@-_{b
出身,しゅっしん,come from,JLPT JLPT_2 JLPT_3,E~$fFKz?VN
出版,しゅっぱん,publication,JLPT JLPT_2 JLPT_3,pHGL?y?[mQ
首都,しゅと,capital city,JLPT JLPT_2 JLPT_3,"pV,3~,Z87["
主婦,しゅふ,housewife,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8 Genki_Ln.1 Genki,cu7/mz5_+B
主要,しゅよう,"chief, main",JLPT JLPT_2 JLPT_3,e/wz>k>*.!
需要,じゅよう,demand,JLPT JLPT_2 JLPT_3,wIb;!:/d[S
種類,しゅるい,"variety, kind",JLPT JLPT_2 JLPT_3,yLzP_}wHk~
順,じゅん,"order, turn",JLPT JLPT_2 JLPT_3,j(7}!qj-R?
瞬間,しゅんかん,"moment, second",JLPT JLPT_2 JLPT_3,w74BNqe`C[
順調,じゅんちょう,doing well,JLPT JLPT_2 JLPT_3,QTXqs`sU2C
順番,じゅんばん,"turn (in line), order of things",JLPT JLPT_2 JLPT_3,"B3?=*++0m,"
使用,しよう,"use (same as 使うこと (つかうこと)), application, employment, utilization",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11,"fv),c7#%~v"
小,しょう,small,JLPT JLPT_2 JLPT_3,He3e1#-/kV
章,しょう,"chapter, section; medal",JLPT JLPT_2 JLPT_3,Cp$qz7LRQ1
賞,しょう,"prize, award",JLPT JLPT_2 JLPT_3,ixda5oQQ=r
上,じょう,first volume; superior quality; governmental,JLPT JLPT_2 JLPT_3,bjtdx{-WQ5
障害,しょうがい,"obstacle, impediment",JLPT JLPT_2 JLPT_3,lN`%jCJ3Cv
奨学金,しょうがくきん,scholarship,Genki_Ln.16 JLPT JLPT_3 JLPT_2 Genki,Q-*B#$A6L:
乗客,じょうきゃく,passenger,JLPT JLPT_2 JLPT_3,F?2lxj<[^L
上京,じょうきょう,proceeding to the capital (Tokyo),JLPT JLPT_2 JLPT_3,EmcG8c7y3D
状況,じょうきょう,"state of affairs, situation",JLPT JLPT_2 JLPT_3,eJ+`w-qU@C
条件,じょうけん,"conditions, terms",JLPT JLPT_2 JLPT_3,PesF@2hHde
正午,しょうご,"noon, mid-day",JLPT JLPT_2 JLPT_3,i0$lSUJ-1J
正直,しょうじき,"honesty, integrity, frankness",JLPT JLPT_2 JLPT_3,l~d^29Cn=%
常識,じょうしき,common sense,JLPT JLPT_2 JLPT_3,b?[*`UKS8R
少女,しょうじょ,young girl,JLPT JLPT_2 JLPT_3,lN;?Tr6q{x
少々,しょうしょう,a little; short (time) (formal for 少し (すこし)),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8 Genki_Ln.20 Genki,Ievwu]EUfz
症状,しょうじょう,"symptoms, condition",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,v+Eb}=L(fE
生じる,しょうじる,"to occur, to arise, to be generated",JLPT JLPT_2 JLPT_3,"F/qG4,c8v/"
状態,じょうたい,"condition, situation",JLPT JLPT_2 JLPT_3,u!E?FPG-@p
上達,じょうたつ,"improvement, advance",JLPT JLPT_2 JLPT_3,Cc{1AI[wlm
冗談,じょうだん,a joke,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10,CllWuV2>%{
上等,じょうとう,"first class, very good",JLPT JLPT_2 JLPT_3,tjn_MUpJQp
衝突,しょうとつ,"collision, conflict",JLPT JLPT_2 JLPT_3,D@=pGn%86P
商人,しょうにん,"trader, shopkeeper, merchant",JLPT JLPT_2 JLPT_3,MlJB*>A^h!
承認,しょうにん,"recognition, approval",JLPT JLPT_2 JLPT_3,"N==,~orf~["
少年,しょうねん,"boys, juveniles",JLPT JLPT_2 JLPT_3,p6fQoD5WK;
商売,しょうばい,"trade, business, commerce",JLPT JLPT_2 JLPT_3,"LoHl,.u1Y|"
消費,しょうひ,"consumption, expenditure",JLPT JLPT_2 JLPT_3,r7nT91%)]@
商品,しょうひん,"commodity, merchandise",JLPT JLPT_2 JLPT_3,w+UOx&@[sL
賞品,しょうひん,"prize, trophy",JLPT JLPT_2 JLPT_3,M}I~*8Gv<&
消防,しょうぼう,"fire fighting, fire department",JLPT JLPT_2 JLPT_3,u20O%VZ|ID
情報,じょうほう,"information, (military) intelligence",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3,cpG:I1X!x-
証明,しょうめい,"proof, verification",JLPT JLPT_2 JLPT_3,l8;-B$4N!G
省略,しょうりゃく,"omission, abbreviation, abridgment",JLPT JLPT_2 JLPT_3,jp1y&-#kyn
女王,じょおう,queen,JLPT JLPT_2 JLPT_3,furG^[#|I<
職,しょく,employment,JLPT JLPT_2 JLPT_3,"hJY}5,Qu8j"
職業,しょくぎょう,"occupation, business",JLPT JLPT_2 JLPT_3,tU=ntM)WP{
食卓,しょくたく,dining table,JLPT JLPT_2 JLPT_3,o})uu+vtqN
食品,しょくひん,foodstuff,JLPT JLPT_2 JLPT_3,iU(>r<G;@0
植物,しょくぶつ,"plant, vegetation",JLPT JLPT_2 JLPT_3,mpdopLG{vR
食物,しょくもつ,"food, foodstuff",JLPT JLPT_2 JLPT_3,KrMVp?T5YJ
食欲,しょくよく,appetite (for food),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,qt1GC>c)@^
食料,しょくりょう,food,JLPT JLPT_2 JLPT_3,"k76m(C.Z,~"
食糧,しょくりょう,"provisions, rations",JLPT JLPT_2 JLPT_3,"e~`&J:],P}"
書斎,しょさい,"study, den",JLPT JLPT_2 JLPT_3,z(Zi=4k7-t
女子,じょし,"woman, girl",JLPT JLPT_2 JLPT_3,y}`qNApt9R
助手,じょしゅ,"helper, assistant",JLPT JLPT_2 JLPT_3,F9rI>UKU}`
徐々に,じょじょに,"slowly, little by little",JLPT JLPT_2 JLPT_3,Ik@-$!%)*d
署名,しょめい,signature,JLPT JLPT_2 JLPT_3,"C)w4*u^eJ,"
書物,しょもつ,books,JLPT JLPT_2 JLPT_3,dsq%HW0O`l
女優,じょゆう,actress,JLPT JLPT_2 JLPT_3,g6/0nLbYEk
処理,しょり,"processing, treatment, disposition",JLPT JLPT_2 JLPT_3,"n-}WPF,.CB"
書類,しょるい,"documents, official papers",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14 Genki_Ln.22 Genki,Ehj{.OHy`#
知らせ,しらせ,notice,JLPT JLPT_2 JLPT_3,tE;LJdiq{b
尻,しり,"buttocks, bottom",JLPT JLPT_2 JLPT_3,Cp-T01W>>7
知合い,しりあい,acquaintance,JLPT JLPT_2 JLPT_3,Jz(h+XVbH4
印,しるし,mark; symbol; evidence,JLPT JLPT_2 JLPT_3,F?8:NFp=(i
城,しろ,castle,JLPT JLPT_2 JLPT_3,GnhkX+7b^.
進学,しんがく,going on to university,JLPT JLPT_2 JLPT_3,p#!GLXFzk~
神経,しんけい,"nerve, sensitivity",JLPT JLPT_2 JLPT_3,"mz&,NqxuZ0"
真剣,しんけん,"seriousness, earnestness",JLPT JLPT_2 JLPT_3,PuRLKa9@q(
信仰,しんこう,"(religious) faith, belief",JLPT JLPT_2 JLPT_3,g~oH1SUq[>
信号,しんごう,"traffic lights, signal, semaphore",JLPT JLPT_3 JLPT_2 Genki_Ln.20 Genki,z?zKX+/#?f
人工,じんこう,"artificial, man made, human work,",JLPT JLPT_2 JLPT_3,zQ3t>E=&2U
深刻,しんこく,serious,JLPT JLPT_2 JLPT_3,Kel_M-JGRX
診察,しんさつ,medical examination (of a patient),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,Mx*u-x#R2}
人種,じんしゅ,race (of people),JLPT JLPT_2 JLPT_3,Mm&n`P$vPl
信じる,しんじる,to believe,JLPT JLPT_2 JLPT_3,E~EJs-CkJ`
人生,じんせい,"(human) life (e.g., conception to death)",JLPT JLPT_2 JLPT_3,G{?]K0G%It
親戚,しんせき,relative(s),Genki_Ln.16 JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9 Genki,f;-yjmPO85
新鮮,しんせん,fresh,JLPT JLPT_2 JLPT_3,hgsIFo;k1C
心臓,しんぞう,heart,JLPT JLPT_2 JLPT_3,FBeXkqV5hu
身体,しんたい,the body,JLPT JLPT_2 JLPT_3,t3y~q`<OO!
身長,しんちょう,"height (of body), stature",JLPT JLPT_2 JLPT_3,v2>$s!00R?
慎重,しんちょう,"careful, prudent, cautious",JLPT JLPT_2 JLPT_3,H{qX;#1p@y
審判,しんぱん,"umpire, referee, judgment",JLPT JLPT_2 JLPT_3,"i+^OoCXV,-"
人物,じんぶつ,"character, personality, talented man",JLPT JLPT_2 JLPT_3,OXSwNDOM:u
進歩,しんぽ,"improvement, progress, development",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,C*Oco$5$I7
親友,しんゆう,"close friend, buddy",JLPT JLPT_2 JLPT_3,e!XKqiS_]u
信用,しんよう,"confidence, dependence",JLPT JLPT_2 JLPT_3,D_Xu621X(*
信頼,しんらい,"reliance, trust, confidence",JLPT JLPT_2 JLPT_3,Cc(neZE[/;
心理,しんり,mentality,JLPT JLPT_2 JLPT_3,M4-pHm{8Hp
人類,じんるい,"mankind, humanity",JLPT JLPT_2 JLPT_3,yGfC3NH0c~
巣,す,"nest, breeding place",JLPT JLPT_2 JLPT_3,wae)m$%B2U
酢,す,vinegar,JLPT JLPT_2 JLPT_3,S|>MWw8{x
図,ず,"figure, drawing, illustration",JLPT JLPT_2 JLPT_3,o=i@Vi;`4G
水準,すいじゅん,"level, standard",JLPT JLPT_2 JLPT_3,LrR5Wf1Z7N
推薦,すいせん,recommendation,JLPT JLPT_2 JLPT_3,jvDU?eC@&E
スイッチ,スイッチ,switch,JLPT Genki_Ln.18 JLPT_3 JLPT_2 Genki,D+{$1{/[wR
睡眠,すいみん,sleep,JLPT JLPT_2 JLPT_3,wh0!*D%WvE
数,すう,"number, figure",JLPT JLPT_2 JLPT_3,J]}my?o<Q!
数字,すうじ,"numeral, figure",JLPT JLPT_2 JLPT_3,B[Gra1kO)v
スープ,スープ,(Western) soup,JLPT JLPT_2 JLPT_3,"s,J:5SYdW2"
末,すえ,"the end of, powder",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.4,EyKo./;AAl
姿,すがた,"figure, shape, appearance",JLPT JLPT_2 JLPT_3,gTn!6ZHkYs
スキー,スキー,ski,JLPT JLPT_3 JLPT_2 Genki_Ln.9 Genki,EDq$^7+uK~
救う,すくう,"to rescue from, to help out of",JLPT JLPT_2 JLPT_3,Pzdj_}ruVB
すくなくとも,すくなくとも,at least,JLPT JLPT_2 JLPT_3,s64aNUZ0&F
優れる,すぐれる,"to surpass, to outstrip, to excel",JLPT JLPT_2 JLPT_3,"fFuIf,@I[N"
スケート,スケート,"skate(s), skating",JLPT JLPT_2 JLPT_3,DQ0-nYW7>.
スケジュール,スケジュール,schedule,JLPT JLPT_2 JLPT_3,m}P~NJ788C
少しも,すこしも,"anything of, not one bit",JLPT JLPT_2 JLPT_3,pSmTW}7_?}
過ごす,すごす,"to pass, to spend (time)",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11,oE9$X-z%xN
筋,すじ,"muscle, string, line",JLPT JLPT_2 JLPT_3,M#_TzTBk6]
進める,すすめる,"to advance, to promote, to hasten",JLPT JLPT_2 JLPT_3,u2l`IqNk23
勧める,すすめる,"to urge (someone) to do (something), to recommend",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,"IBeh,nV1Dt"
スター,スター,star,JLPT JLPT_2 JLPT_3,hHJocr{1ix
スタイル,スタイル,style,JLPT JLPT_2 JLPT_3,wQruLdJqJI
スタンド,スタンド,stand,JLPT JLPT_2 JLPT_3,"Qz:R,pd5SR"
頭痛,ずつう,headache,JLPT JLPT_2 JLPT_3,hcxF9uQ5ZX
ずっと,ずっと,for a long time; all the time; consecutively,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5 Genki_Ln.22 Genki,OCoZDHO:^u
すっぱい,すっぱい,"sour, acid",JLPT JLPT_2 JLPT_3,d)l(J.2Nu=
すてき,すてき,"lovely, great",JLPT JLPT_2 JLPT_3,B~-XSf&NNC
既に,すでに,already (same as もう),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,d=:dSSUK:`
すなわち,すなわち,"that is, namely, e.g.",JLPT JLPT_2 JLPT_3,zS=.lQe1_+
スピーチ,スピーチ,speech,JLPT JLPT_3 JLPT_2 Genki Genki_Ln.21,pvM3{8vA`1
全て,すべて,"all, the whole, entirely",JLPT JLPT_2 JLPT_3,kq!H^iT|N4
済ませる,すませる,to be finished,JLPT JLPT_2 JLPT_3,vQUpvSA005
角,すみ,corner,JLPT JLPT_2 JLPT_3,b^^N<lR$T]
墨,すみ,ink,JLPT JLPT_2 JLPT_3,Pt>IB]Y%[8
すみません (かん),すみません (かん),"sorry, excuse me",JLPT JLPT_2 JLPT_3,Kr6X0TH7=(
澄む,すむ,"to clear (e.g., weather), to become transparent",JLPT JLPT_2 JLPT_3,d^/yYeQD1M
清む,すむ,"to clear (e.g., weather), to become transparent",JLPT JLPT_2 JLPT_3,wMyt{WAjxX
刷る,する,to print,JLPT JLPT_2 JLPT_3,MuPBNA;83U
為る,する,"to do, to attempt",JLPT JLPT_2 JLPT_3,z;FwzGK-v+
鋭い,するどい,"pointed, sharp",JLPT JLPT_2 JLPT_3,s@c[Ya@R|h
すれ違う,すれちがう,to pass by one another,JLPT JLPT_2 JLPT_3,fP+0(@n(JZ
ずれる,ずれる,"move, off the point",JLPT JLPT_2 JLPT_3,F2j?XV=5UF
正,せい,"(logical) true, regular",JLPT JLPT_2 JLPT_3,AC@`-8Z+qv
生,せい,birth,JLPT JLPT_2 JLPT_3,"yDy>Z9R,FJ"
性,せい,"sex, gender",JLPT JLPT_2 JLPT_3,Gy*nj#x|I/
姓,せい,"surname, family name",JLPT JLPT_2 JLPT_3,"sO,Mg|Q.hG"
所為,せい,"cause, reason, fault",JLPT JLPT_2 JLPT_3,yy|zc*n):n
税,ぜい,tax,JLPT JLPT_2 JLPT_3,eEs:NyUxEV
性格,せいかく,"character, personality",JLPT Intermediate_Japanese Genki_Ln.19 JLPT_3 JLPT_2 Genki Intermediate_Japanese_Ln.3,l3(d&u3o-<
正確,せいかく,"accurate, punctuality, exact",JLPT JLPT_2 JLPT_3,rg^|Ktq*}h
世紀,せいき,century,JLPT JLPT_2 JLPT_3,MQfIjnh7j}
請求,せいきゅう,"claim, demand, request",JLPT JLPT_2 JLPT_3,KNbh$sySYl
税金,ぜいきん,"tax, duty",Genki_Ln.15 JLPT JLPT_3 JLPT_2 Genki,Ah}s1$;.$[
清潔,せいけつ,clean,JLPT JLPT_2 JLPT_3,vJiZ-)))FJ
制限,せいげん,"restriction, restraint, limitation",JLPT JLPT_2 JLPT_3,P3D^cMd_|f
成功,せいこう,"success, hit",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,bkv%QuVn22
正式,せいしき,"official, formal",JLPT JLPT_2 JLPT_3,zSQ*)G#Yvj
性質,せいしつ,"nature, property, disposition",JLPT JLPT_2 JLPT_3,E(70}4c-m*
精神,せいしん,"mind, soul, spirit",JLPT JLPT_2 JLPT_3,tLy]a8CB9?
成人,せいじん,adult,JLPT JLPT_2 JLPT_3,"g@,iQ!8;."
精々,せいぜい,"at the most, at best",JLPT JLPT_2 JLPT_3,q[aqj]#7$-
成績,せいせき,"grade (i.e., on a test), academic record",JLPT Genki_Ln.12 Intermediate_Japanese JLPT_3 JLPT_2 Genki Intermediate_Japanese_Ln.3,o4$BUl?TFA
製造,せいぞう,"manufacture, production",JLPT JLPT_2 JLPT_3,OAvZo`.~[q
贅沢,ぜいたく,"luxury, extravagance",JLPT JLPT_2 JLPT_3,"iRbk]j,(Bl"
成長,せいちょう,growth,JLPT JLPT_2 JLPT_3,lSq)ru5`@&
生長,せいちょう,growth,JLPT JLPT_2 JLPT_3,G5ys*Os]kn
制度,せいど,"system, institution",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,]d3#w;wAU
青年,せいねん,"youth, young man",JLPT JLPT_2 JLPT_3,r|D|m%Ih@3
